App ID;Name;Short Description;Developer;Publisher;Genre;Tags;Type;Categories;Owners;Positive Reviews;Negative Reviews;Price;Initial Price;Discount;CCU;Languages;Platforms;Release Date;Required Age;Website;Header Image
1000600;The ScreaMaze;What score can you reach in this simple horror maze? Can you beat your best score and discover the scariest end?;White Puppet Studio;White Puppet Studio;Indie;Indie: 31, Horror: 10, Puzzle: 10, Singleplayer: 10;game;Single-player;0 .. 20,000;6;1;0;0;0;0;English;windows;2019/01/10;0;;https://cdn.akamai.steamstatic.com/steam/apps/1000600/header.jpg?t=1604081181
1000640;Clam Man;An absurd, strange, and hilarious underwater adventure featuring office work, the duck of truth, nasty drinks, and the horrifying reality of mayonnaise crime.;Team Clam;Team Clam;Adventure, Indie;Adventure: 35, Indie: 33, Point & Click: 17, Funny: 16, Comedy: 14;game;Single-player, Steam Achievements;0 .. 20,000;107;8;999;999;0;0;English;windows, mac, linux;2019/05/23;0;;https://cdn.akamai.steamstatic.com/steam/apps/1000640/header.jpg?t=1666986649
1000650;Fist Of Heaven & Hell;Will you choose The Fist Of Heaven or The Fist Of Hell? Dive into the story of Yuuto, the newest contestant to become the next heir of the most deadly martial art in the world, The Fist Of Heaven!;Victor Martinelli;Victor Martinelli;Action, Adventure, Indie;Action: 31, Indie: 31, Adventure: 30, Violent: 21;game;Single-player;0 .. 20,000;7;0;299;299;0;0;English, Spanish - Spain;windows, mac, linux;2019/06/28;0;;https://cdn.akamai.steamstatic.com/steam/apps/1000650/header.jpg?t=1561929855
1000750;Rotund Rebound;Sentence has been passed on the dark carrot, so hop down the rabbit hole and hold on tight. An epic retro platforming adventure unfolds as you brave nightmare worlds and encounter a colorful cast of quirky characters on the road to rescuing your friends and conquering the shadows!;Dahku;Dahku;Action, Adventure, Indie;Precision Platformer: 128, Platformer: 122, Difficult: 119, 2D Platformer: 116, Retro: 113, Pixel Graphics: 108, Adventure: 103, 2D: 98, Colorful: 93, Puzzle-Platformer: 90, Action: 88, Time Attack: 82, Side Scroller: 76, Singleplayer: 71, Surreal: 69, Fast-Paced: 67, Funny: 63, Cute: 59, Indie: 48, Great Soundtrack: 27;game;Single-player, Steam Achievements, Steam Cloud, Full controller support;0 .. 20,000;5;0;1999;1999;0;0;English, French, Italian, German, Spanish - Spain, Portuguese - Brazil, Russian, Japanese;windows, mac, linux;2022/04/1;0;https://rotundrebound.com;https://cdn.akamai.steamstatic.com/steam/apps/1000750/header.jpg?t=1648829248
1000770;Urban Tale;Urban Tale is a realistic, vibrant and unique RPG that will allow you to fulfil your dreams, and pursue your most wanted goals in life. You start from scratch, having nothing in the city where you can meet a lot of people, that can help you throughout your adventure. Your goal is to succeed in life.;WASD Games;WASD Games;Adventure, Casual, Indie, RPG, Simulation;"Simulation: 153, Casual: 148, RPG: 147, Pixel Graphics: 143, Indie: 142, 2D: 138, Atmospheric: 130, Adventure: 128, Relaxing: 126, Retro: 123, Life Sim: 120, Singleplayer: 118, Sandbox: 106, Choose Your Own Adventure: 103, Exploration: 103, Colorful: 100, Cute: 98, Stylized: 96, ""1990s"": 93, Management: 92";game;Single-player, Stats, Partial Controller Support, Steam Achievements, Steam Trading Cards;0 .. 20,000;55;39;1199;1199;0;1;English;windows, mac;2021/10/7;0;https://www.urban-tale.com;https://cdn.akamai.steamstatic.com/steam/apps/1000770/header.jpg?t=1667381669
1000790;Flex Apocalypse Racing;These are races in which you need to complete tracks as quickly as possible.;"Nikita ""Ghost_RUS""";Ghost_RUS Games;Indie, Racing, Simulation, Sports;Indie: 21, Racing: 21, Simulation: 21, Sports: 21;game;Single-player, Steam Achievements;0 .. 20,000;6;4;99;99;0;0;English;windows;2019/01/1;0;;https://cdn.akamai.steamstatic.com/steam/apps/1000790/header.jpg?t=1546339360
1000810;RogueCraft Squadron;"RogueCraft Squadron is a fast paced real-time strategy space adventure with roguelike elements. Play as a squadron commander fighting against a hostile alien race; collecting resources, researching new ships and building an armada as you fight to survive against overwhelming odds.";Missing Sentinel Software;Missing Sentinel Software;Indie, Strategy;Strategy: 41, Indie: 40, RTS: 22, 2D: 21, Sci-fi: 21, Space: 21;game;Multi-player, Single-player, Co-op, Online PvP, Online Co-op, PvP;0 .. 20,000;5;1;1499;1499;0;0;English;windows, mac, linux;2019/02/18;0;http://roguecraftsquadron.com/;https://cdn.akamai.steamstatic.com/steam/apps/1000810/header.jpg?t=1557772230
1000830;Gachi Finder 3000;Gachi Finder 3000 is a game about deep dark fantasies, of finding characters from Gachimuchi. The amazing journey in which you find your favorite Gachimuchi characters will leave you in a state of euphoria. How deep can you make it?;Toka, AllianceInFaith;AllianceInFaith;Casual, Indie, Strategy;Casual: 93, Sexual Content: 87, Indie: 83, Strategy: 78, Memes: 73, Psychological Horror: 67, LGBTQ+: 63, God Game: 62, Comedy: 58, Simulation: 55, FPS: 52, Dungeon Crawler: 51, Surreal: 49, Survival Horror: 47, Family Friendly: 44, Wrestling: 38, Singleplayer: 37, Open World Survival Craft: 32, Great Soundtrack: 30, Epic: 29;game;Single-player, Stats;0 .. 20,000;162;4;99;99;0;0;English;windows;2019/01/8;0;;https://cdn.akamai.steamstatic.com/steam/apps/1000830/header.jpg?t=1566899466
1000860;Allspace;100 pilots battle with lasers, plasma, and missiles in Allspace.;ShilohGames;ShilohGames;Action, Massively Multiplayer, Simulation;Action: 35, Simulation: 35, Massively Multiplayer: 34, Space: 18, Shooter: 14, FPS: 13, First-Person: 13, VR: 13, Sci-fi: 12, Indie: 11, Multiplayer: 11, Space Sim: 11;game;Multi-player, Full controller support, Online PvP, PvP;0 .. 20,000;40;19;499;499;0;0;English;windows, mac, linux;2019/10/18;0;;https://cdn.akamai.steamstatic.com/steam/apps/1000860/header.jpg?t=1578070639
1000870;On Target VR Darts;On Target VR Darts is a physics-based darts simulation for Oculus headsets. Play Cricket, X01 and Around the world vs AI, Freethrow and Speed Darts. Gain achievements, customize your darts, and challenge players from around the world on our Leaderboards!;Colugo Productions Inc.;Colugo Productions Inc.;Casual, Simulation, Sports;Simulation: 72, Sports: 66, Casual: 63, VR: 40, e-sports: 33, Immersive Sim: 30, Realistic: 29, Modern: 27, Relaxing: 25, 6DOF: 23, Physics: 21, Singleplayer: 19;game;Single-player, Commentary available, Stats, Steam Achievements, Steam Leaderboards;0 .. 20,000;5;5;799;799;0;0;English, French, German, Spanish - Spain, Russian, Simplified Chinese, Ukrainian, Dutch, Japanese, Korean, Polish, Spanish - Latin America;windows;2020/12/22;0;https://ontargetvr.com/;https://cdn.akamai.steamstatic.com/steam/apps/1000870/header.jpg?t=1638502888
1000880;REPTOMOM;As REPTOMOM, the fate of dinosauria rests on your cybernetically-enhanced shoulders. Rout the nefarious humans who have taken a quantum-leap to your universe and brainwashed its denizens in a bid to take over. Slash, kick, lase, and blaze your way through 8 areas of classic platforming challenge!;ProblemGamer Productions;ProblemGamer Productions;Action, Casual, Indie;Action: 31, Casual: 31, Indie: 31, Early Access: 11, Platformer: 11, Retro: 10;game;Single-player, Partial Controller Support;0 .. 20,000;0;1;399;399;0;0;English;windows;2020/09/10;0;http://www.facebook.com/Reptomom;https://cdn.akamai.steamstatic.com/steam/apps/1000880/header.jpg?t=1599767623
1000900;Zero spring episode 3;First you can choose to display the previous synopsis.The final investigation will start to solve the mystery of spring water. A free FPS game and a free soundtrack are included as DLC.;Sonic-Alpha;NS;Adventure, Indie, RPG;Adventure: 32, Indie: 31, RPG: 30, Action: 10, First-Person: 10, JRPG: 10, Singleplayer: 10, Story Rich: 10, Shooter: 9, Soundtrack: 9, Anime: 8, FPS: 8;game;Single-player, Steam Achievements;0 .. 20,000;1;0;198;198;0;0;English, Japanese;windows, mac;2019/01/10;0;https://emerose.biz/;https://cdn.akamai.steamstatic.com/steam/apps/1000900/header.jpg?t=1617939986
1000980;Kill Tiger;As the excellent killer,you finally eliminate the last hidden danger of Your Majesty. What you face is not the supreme glory,but the cold shackles. What conspiracy is there behind all this! ? Passing through layers of dense fogs, and getting across the gears layer upon layer, You will search the cruel truth!;Koopa Yao;Koopa Yao;Action, Adventure, Indie;Action: 22, Indie: 21, Adventure: 20;game;Single-player, Full controller support;0 .. 20,000;1;0;699;699;0;0;English, Simplified Chinese;windows;2019/03/1;0;;https://cdn.akamai.steamstatic.com/steam/apps/1000980/header.jpg?t=1551427368
1000990;Gun Beat;Beat enemies to the beat. Avoid bullets to survive. ‘Gun Beat’ is a VR game that combines rhythm and shooting. Beat the enemy with a rhythm! Oh, don't forget to avoid bullets, too!;Gun Beat;Gun Beat;Action, Casual, Indie;Action: 21, Casual: 21, Indie: 21, VR: 7;game;Single-player;0 .. 20,000;8;3;699;699;0;0;English;windows;2019/01/14;0;;https://cdn.akamai.steamstatic.com/steam/apps/1000990/header.jpg?t=1547604234
1001010;雪·疑 Sknow;前来度假的一行人，在暴风雪的天气中接连遭遇不测，死亡，离间…… 她，能在层层恐惧中，找出凶手吗？;泥亾;泥亾;Indie, RPG;Indie: 31, RPG: 31, Mystery: 11, RPGMaker: 5;game;Single-player;0 .. 20,000;9;3;199;199;0;0;English, Not supported, Simplified Chinese;windows;2019/05/19;0;http://www.lofter.com/lpost/206025dc_12e9f0f0a;https://cdn.akamai.steamstatic.com/steam/apps/1001010/header.jpg?t=1559056314
1001040;Glorious Companions;Glorious Companions is a turn-based tactical RPG set in the fantasy world of Navaroth. Craft your own journey as a leader of a mercenary company! Become a powerful lord, solve the mystery of the Ancient Guardians, or just ride around the continent building your fortune on trade.;Ancient Forge;Ancient Forge;RPG, Strategy, Early Access;RPG: 41, Strategy: 32, Turn-Based Tactics: 31, Early Access: 22, Violent: 21, Replay Value: 20, Turn-Based: 15, Fantasy: 14, Turn-Based Combat: 14, Sandbox: 13, Open World: 12, Tactical: 12, Dark Fantasy: 11, Indie: 11, Procedural Generation: 11, Singleplayer: 11, Strategy RPG: 10;game;Multi-player, Single-player, Online PvP, Shared/Split Screen PvP, PvP;0 .. 20,000;66;39;1999;1999;0;0;English, Polish, Portuguese - Brazil;windows;2019/06/4;0;https://gloriouscompanions.com;https://cdn.akamai.steamstatic.com/steam/apps/1001040/header.jpg?t=1666698961
1001070;Koi;KOI is an award-winning exploration adventure game that details the story of a small koi on a grand adventure;Dotoyou Games;Dotoyou Games;Adventure, Casual, Indie;Casual: 24, Indie: 23, Adventure: 21;game;Single-player, Steam Achievements, Steam Cloud, Full controller support, Remote Play on TV;0 .. 20,000;111;20;99;99;0;0;English, Japanese, Simplified Chinese, Traditional Chinese, Korean;windows;2019/02/22;0;;https://cdn.akamai.steamstatic.com/steam/apps/1001070/header.jpg?t=1568883681
1001100;Kooring VR Wonderland:Mecadino's Attack;Kooring VR Wonderland : Medicano's Attack contains 6 mini games, with special experiences in VR. In the mysterious Wonderland, you can devour exhilarating magical experience!;VRANI inc.;VRANI inc.;Action, Adventure, Casual, Indie;"Family Friendly: 268, VR: 263, Casual: 259, Character Action Game: 258, Party Game: 254, ""Shoot Em Up"": 252, Choose Your Own Adventure: 241, Cute: 239, Rhythm: 237, Adventure: 233, Action-Adventure: 231, Arcade: 225, 3D: 215, Music: 207, Narration: 205, Choices Matter: 198, Action: 184, Fantasy: 77, 6DOF: 75, Singleplayer: 71";game;Single-player;0 .. 20,000;12;0;1599;1599;0;0;English, Simplified Chinese, Korean;windows;2020/10/9;0;http://vrani.co.kr;https://cdn.akamai.steamstatic.com/steam/apps/1001100/header.jpg?t=1631330291
